date,geography,geography code,Number of rooms (VOA): Total: All households,Number of rooms (VOA): 1 room,Number of rooms (VOA): 2 rooms,Number of rooms (VOA): 3 rooms,Number of rooms (VOA): 4 rooms,Number of rooms (VOA): 5 rooms,Number of rooms (VOA): 6 rooms,Number of rooms (VOA): 7 rooms,Number of rooms (VOA): 8 rooms,Number of rooms (VOA): 9 or more rooms
2021,Manchester,E08000003,214731,2957,29586,60979,60731,42839,12056,3359,1264,960
2021,Oldham,E08000004,93141,367,7165,30934,27446,18277,6039,1849,641,423
2021,Rochdale,E08000005,90223,513,7261,26818,29634,16637,6562,1852,559,387
2021,Salford,E08000006,115116,1477,13036,34499,34251,22055,6492,2029,673,604
2021,Stockport,E08000007,126647,972,10471,29096,30903,37399,11740,4035,1339,692
2021,Tameside,E08000008,99529,464,8814,33921,35437,14423,4463,1408,361,238
2021,Trafford,E08000009,96270,848,7809,17595,22042,32324,9235,3773,1408,1236
2021,Wigan,E08000010,143104,348,7646,31948,55686,32784,10814,2800,696,382
2021,Knowsley,E08000011,66073,50,2888,11201,24961,19855,5967,801,207,143
2021,Liverpool,E08000012,207491,2706,20666,40827,57450,63083,14138,5276,1757,1588
2021,St. Helens,E08000013,81011,145,4335,15023,31412,22479,5334,1511,493,279
2021,Sefton,E08000014,123072,603,9959,20790,33121,38519,11995,4423,1849,1813
2021,Wirral,E08000015,143252,646,9909,26402,34613,46152,16472,4983,2200,1875
2021,Barnsley,E08000016,108056,253,6009,30412,41480,19903,6935,2072,677,315
2021,Doncaster,E08000017,133480,516,8065,24789,49060,35958,9673,3346,1134,939
2021,Rotherham,E08000018,113925,382,7523,24230,38388,32175,7640,2398,732,457
2021,Sheffield,E08000019,231950,2532,24236,55016,76600,49047,14693,5891,2262,1673
2021,Newcastle upon Tyne,E08000021,122797,869,11766,34575,32137,27664,8379,4070,1950,1387
2021,North Tyneside,E08000022,96232,266,8021,26835,24635,24386,7781,2915,914,479
2021,South Tyneside,E08000023,68282,129,6510,17507,22696,16322,3402,1085,365,266
2021,Sunderland,E08000024,122177,640,9818,31523,37432,29995,9006,2319,836,608
2021,Birmingham,E08000025,423456,4475,52586,78641,115174,130505,25698,9278,3831,3268
2021,Coventry,E08000026,134139,1809,9841,28402,40532,43408,6473,2058,851,765
2021,Dudley,E08000027,137069,363,11452,27787,48059,37202,9118,2216,574,298
2021,Sandwell,E08000028,130248,629,12751,27041,47284,34869,5646,1192,520,316
2021,Solihull,E08000029,89483,295,6768,15464,23336,25381,11361,4251,1595,1032
2021,Walsall,E08000030,112228,152,7999,23651,40825,29760,7183,1739,583,336
2021,Wolverhampton,E08000031,105136,380,10988,20623,30902,34119,5719,1544,487,374
2021,Bradford,E08000032,209865,1688,20769,47270,65900,45222,17747,6637,2583,2049
2021,Calderdale,E08000033,90476,345,9932,25557,25529,17541,6802,2765,1196,809
2021,Kirklees,E08000034,177992,572,20301,47306,51707,34336,14583,5853,2022,1312
2021,Leeds,E08000035,341470,3658,35168,95500,99528,67157,25020,9362,3524,2553
2021,Wakefield,E08000036,153075,442,9537,40608,55261,31289,11223,3154,1037,524
2021,Gateshead,E08000037,89001,210,7611,27956,27881,18183,4503,1666,664,327
2021,City of London,E09000001,4912,591,1790,1624,428,278,135,18,18,30
2021,Barking and Dagenham,E09000002,73902,488,10049,23142,22867,15231,1574,311,144,96
2021,Barnet,E09000003,148917,5161,20281,41771,22551,35094,12918,5669,2840,2632
2021,Bexley,E09000004,95304,579,8547,20148,19430,35556,7168,2821,722,333
2021,Brent,E09000005,118614,4191,21848,34316,16259,29385,7532,2925,1258,900
2021,Bromley,E09000006,135827,1396,15693,30241,26583,37300,13730,5956,2813,2115
2021,Camden,E09000007,92760,8622,23862,28629,16523,6942,3317,1993,1202,1670
2021,Croydon,E09000008,152946,4447,22357,36278,26549,43336,11839,4630,2045,1465
2021,Ealing,E09000009,133659,4853,21675,33822,21401,37642,8173,3219,1445,1429
2021,Enfield,E09000010,120927,2892,15294,30003,25379,36069,7057,2416,931,886
2021,Greenwich,E09000011,114052,1855,20260,33772,24771,22972,6587,2359,754,722
2021,Hackney,E09000012,106081,4454,26331,36404,22796,8662,4215,1828,766,625
2021,Hammersmith and Fulham,E09000013,81244,4513,21874,24448,14179,8152,4275,2109,979,715
2021,Haringey,E09000014,105092,5657,22989,28850,17694,15511,8281,3367,1557,1186
2021,Harrow,E09000015,89642,1782,10181,19352,11092,35238,6718,2918,1324,1037
2021,Havering,E09000016,101277,608,9138,21679,28185,31865,6146,2097,850,709
2021,Hillingdon,E09000017,109229,2374,13627,28202,24834,30324,5837,2415,992,624
2021,Hounslow,E09000018,102961,2644,16655,29707,18982,26611,4936,1783,899,744
2021,Islington,E09000019,96498,3264,29670,32956,16391,6700,4192,1953,770,602
2021,Kensington and Chelsea,E09000020,66883,6636,15627,19784,10335,5070,3386,2061,1417,2567
2021,Kingston upon Thames,E09000021,65626,1210,8470,15348,10204,19208,6174,2800,1184,1028
2021,Lambeth,E09000022,134689,4913,30654,44848,25085,16065,6490,3505,1734,1395
2021,Lewisham,E09000023,122392,4148,24821,37062,23294,23247,5764,2245,1000,811
2021,Merton,E09000024,81729,1395,11445,18318,13303,27610,5298,2116,994,1250
2021,Newham,E09000025,115508,1828,23940,33396,30594,18243,5513,1287,403,304
2021,Redbridge,E09000026,103713,1499,13239,22134,15376,37798,8939,2995,996,737
2021,Richmond upon Thames,E09000027,80705,1557,11073,19172,15570,18186,8106,3577,1880,1584
